0.00000000000000e+00 1.000e+00
2.52064221204164e+04   inf
2.51093415887590e+04 3.851e-03
2.51111174842162e+04 1.000e+00
2.51114714013415e+04 1.000e+00
2.51117145497186e+04 1.000e+00
2.51118694927552e+04 1.000e+00
2.51119728467053e+04 1.000e+00
2.51120416461129e+04 1.000e+00
2.51120890784151e+04 1.000e+00
2.51121200804306e+04 1.000e+00
2.51121403118378e+04 1.000e+00
2.51121550047770e+04 1.000e+00
2.51121647995834e+04 1.000e+00
2.51121714139643e+04 1.000e+00
2.51121752577385e+04 1.000e+00
2.51121773617791e+04 1.000e+00
2.51121788681366e+04 1.000e+00
2.51121802900108e+04 1.000e+00
2.51121814669743e+04 1.000e+00
2.51121824079241e+04 1.000e+00
